NumPEs,Pipeline,Merged_QQ,Joint Scratchpad,Scratchpad_0_Size,Scratchpad 0 Banks,Scratchpad 1 Size,Scratchpad 1 Banks,Scratchpad 2 Size,Scratchpad 2 Banks,Ideal,Queries Processed,Nodes Visited,Point Accesses,Node Accesses,Stack Accesses,Conflicts,Stages Stalled,Percent Time Stalled,Lines Processed,Num Cycles,Average Cycles per Node Traversed
16,True,True,False,5000000,4,NA,NA,NA,NA,False,29814,269047,506048,506048,1577772,19677276,212607157,1.4588289044797,18813218,284645,1.05797500065044
16,True,True,False,5000000,8,NA,NA,NA,NA,False,29814,291459,506048,506048,1577772,6334704,69826623,0.985633405461342,18813218,138368,0.474742588151335
16,True,True,False,5000000,16,NA,NA,NA,NA,False,29814,349624,506048,506048,1577772,2582633,30409382,0.621808936825382,18813218,95517,0.273199208292337
16,True,True,False,5000000,32,NA,NA,NA,NA,False,29814,406193,506048,506048,1577772,1070542,13670526,0.350452119674358,18813218,76188,0.187566009261607
16,True,True,False,5000000,64,NA,NA,NA,NA,False,29814,436094,506048,506048,1577772,602638,7744351,0.215333706517019,18813218,70243,0.161073071402037
32,True,True,False,5000000,1,NA,NA,NA,NA,False,29814,382813,506048,506048,1577772,567557811,6928263183,3.61731595108489,18813218,1870415,4.88597565913383
32,True,True,False,5000000,2,NA,NA,NA,NA,False,29814,294745,506048,506048,1577772,98094066,934517188,1.3929514678818,18813218,655166,2.22282311828869
32,True,True,False,5000000,4,NA,NA,NA,NA,False,29814,259735,506048,506048,1577772,40765335,425054085,1.52156991214535,18813218,272805,1.05032051899051
32,True,True,False,5000000,8,NA,NA,NA,NA,False,29814,260786,506048,506048,1577772,14373702,142091952,1.1579007825082,18813218,119839,0.459530036121571
32,True,True,False,5000000,16,NA,NA,NA,NA,False,29814,286501,506048,506048,1577772,5833422,64818915,0.951517800521421,18813218,66525,0.232198142414861
32,True,True,False,5000000,32,NA,NA,NA,NA,False,29814,341831,506048,506048,1577772,2200960,27182683,0.603363689135092,18813218,43996,0.128706875619824
32,True,True,False,5000000,64,NA,NA,NA,NA,False,29814,397199,506048,506048,1577772,1005782,12932584,0.334422787303058,18813218,37765,0.095078285695583
64,True,True,False,5000000,1,NA,NA,NA,NA,False,29814,379137,506048,506048,1577772,1039522273,9268410026,2.44254340710442,18813218,1852819,4.88693796701456
64,True,True,False,5000000,2,NA,NA,NA,NA,False,29814,290161,506048,506048,1577772,251688830,2444416983,1.86403926220185,18813218,640310,2.2067403958492
64,True,True,False,5000000,4,NA,NA,NA,NA,False,29814,259278,506048,506048,1577772,64171357,498548914,0.905379442763173,18813218,268873,1.037006610665
64,True,True,False,5000000,8,NA,NA,NA,NA,False,29814,254038,506048,506048,1577772,27305910,223376262,0.955735444784419,18813218,114122,0.44923200466072
64,True,True,False,5000000,16,NA,NA,NA,NA,False,29814,265722,506048,506048,1577772,12864796,118472675,0.971288254136199,18813218,59558,0.224136503563875
64,True,True,False,5000000,32,NA,NA,NA,NA,False,29814,287087,506048,506048,1577772,4706434,53697149,0.878604350752505,18813218,29842,0.103947583833472
64,True,True,False,5000000,64,NA,NA,NA,NA,False,29814,331896,506048,506048,1577772,2097384,25780680,0.563710655870763,18813218,22331,0.067283124834286
